"","RC1","RC3","RC2","RC4","RC5"
"active",-0.144922729973318,0.244452175366322,-0.121802300825629,0.0711762949475055,0.00196120146010205
"agreeable",-0.466160799173555,-0.206126020520919,0.0478891046535508,0.063689001701593,0.0624435163683925
"anxious",0.0275160211804694,-0.108468990751968,-0.198324590956269,0.0636311108804314,-0.117414162481111
"artistic",0.065456393719719,-0.135500935895873,-0.0621811762627474,0.30303105189354,-0.115789040328278
"assertive",-0.148597392290052,0.51110531972261,0.00948998599224028,-0.0609919065059269,-0.0253133205711059
"bashful",0.334181349864562,-0.382985824376943,-0.0960711584193017,0.0782820923739246,-0.0696542075220861
"bold",-0.114831934737272,0.461691863704754,-0.00489824335736271,0.196388281223938,-0.0853006313075825
"bright",-0.00314678801599425,0.0289474344556937,-0.0067226606256215,0.0735821018804455,-0.174471380656036
"careful",0.00382356855243035,-0.129941495784952,-0.00379264087802075,-0.402320471198106,-0.0243970857246504
"careless",0.0652111773084395,-0.0532489518404568,-0.037466122610795,0.43167039265665,0.0541231807318208
"cold",0.584763834003638,0.0448776878912549,0.108075699830396,-0.0551324095201417,-0.133971911915034
"complex",0.156374316322037,0.00164188365760916,0.086154878792629,0.0552649581225619,-0.272176531352773
"conscientious",-0.0652504844518954,-0.0288150235660175,-0.1824717770137,-0.416131191643196,-0.0034148602638741
"considerate",-0.291707049041127,-0.220697030179764,-0.145918955058417,-0.00180472784542286,0.0375534695054405
"cooperative",-0.347961355125637,-0.124996968506414,-0.0544185469224527,0.00264790035932541,-0.0276819074975042
"creative",0.0824074040080239,-0.0488679995034486,-0.0355066165619167,0.18306539043144,-0.114322413895804
"daring",0.0113226674489436,0.436401259293235,-0.0319174141392703,0.449015370975044,-0.0860713082476242
"deep",0.104155445530912,-0.084416267445365,0.0134027830069143,0.0151871147381073,-0.1615832372074
"demanding",0.0567396544577186,0.550416626424345,-0.125384180558071,-0.224452734993149,-0.196728892118328
"disorganized",0.0677354353361467,-0.0811768912450241,-0.103085744542441,0.396966599693996,-0.02052042053502
"distrustful",0.255496586574869,-0.0837228963233845,0.568173302599016,-0.0449580898607413,0.0948175300235758
"efficient",-0.00938468324001159,0.064602554533899,0.062750178821557,-0.263229857012354,0.000618697901740839
"emotional",-0.369093419066314,-0.0946154412006563,-0.0773008978312046,0.183759178309127,-0.0460716593508067
"energetic",-0.262050110552049,0.299080207633944,-0.123593388056869,0.119852703896959,0.0240154284205437
"envious",-0.058769738673523,-0.0261844562532934,0.172905573527814,0.0751882439480402,0.00447485164925837
"fearful",-0.0264537438528671,-0.122407797963284,-0.0708931346612869,0.0301154329431895,-0.0107711434331654
"fretful",0.0173462204989621,0.0155587910986477,-0.279086867960119,-0.0472993221342019,-0.10147205660887
"generous",-0.224806773956798,-0.0222040957616407,-0.180946231071821,-0.00527444117233055,0.011648677327432
"haphazard",0.0867263937256579,-0.0472004899587799,-0.0775994634162614,0.406505715544577,0.0187989967379061
"harsh",0.20811068909501,0.539700680537364,-0.133541130794967,-0.182878028776212,-0.00139489623905598
"helpful",-0.220079771594345,-0.0494611867142672,-0.0365910918439852,-0.0737292532866384,0.0348576368819561
"high-strung",-0.00546987275052676,0.329635241696098,-0.235757061057623,-0.0320411110552612,-0.163938639960435
"imaginative",0.0809652198487307,-0.0524109669563708,-0.00138660873498697,0.235870904328932,-0.204273264495556
"impractical",0.0135345644452263,-0.113059592936176,-0.0890687157277581,0.220897003819761,0.0073756711340473
"inconsistent",0.0505385557550468,-0.0919561321138904,0.032949281853572,0.416468541466974,-0.0133053300777758
"inefficient",0.0369147477798825,-0.0648813634518104,-0.101285649938912,0.288946446561368,0.00821331772063659
"inhibited",0.453591134979565,-0.411224510559298,-0.0759009167697361,-0.0242662189718162,-0.0687928879198118
"innovative",0.166621998237186,0.163659156330725,-0.0887035757827659,0.238746224614354,-0.397405753104391
"insecure",0.122693861573773,-0.204868619764811,-0.0687720144912067,0.0947835153403775,-0.0899605031787062
"intellectual",0.126716411320153,-0.0498596847908376,-0.00622267066739306,-0.0946294930938952,-0.292240208168385
"introspective",0.259965365455525,-0.35089862119486,0.00764020904375788,-0.0453002572030897,-0.312366775332667
"introverted",0.585551275872111,-0.514811720538024,-0.0485761151385783,-0.100227506889557,-0.0648727202286372
"irritable",0.179212840741791,0.356046215214875,-0.200859539421923,-0.00385594755196974,0.0467679447683695
"jealous",-0.0781089979614613,0.0259298141737407,0.108422112779128,0.0265192906399125,0.0391676357807957
"kind",-0.191917024166865,-0.134807495241261,-0.0851000020115518,0.0134459964889423,0.0402237862281166
"moody",0.23154179761262,0.055255416873079,-0.0636569556455113,0.0948334749936836,0.0381142160331356
"negligent",0.10754748395061,-0.0879768304434596,0.00123732438562336,0.282255212920414,-0.00650223292482026
"nervous",0.0372337799243857,-0.156061571666375,-0.103172740009494,0.0931067058952567,-0.0977527344149902
"organized",-0.0645733790483742,0.032323039549481,0.0586811823758521,-0.367181621083012,-0.0301440291783824
"philosophical",0.103406380885709,-0.175859252681595,0.0704583427367973,-0.054632923314233,-0.260516929711259
