"","RC2","RC1","RC4","RC6","RC3","RC5"
"active",-0.0980173825010113,-0.0936839254164178,0.0270521093762843,-0.288282198138067,-0.0700358401020927,0.0234298626124021
"agreeable",0.0533307655002342,-0.357041429856535,0.0577974083188659,0.112509356980758,-0.289852158283261,0.0653423672246894
"anxious",-0.223843753741153,-0.0108782846118604,0.10142715788903,0.161589136595311,0.0618680005158367,-0.134060139724392
"artistic",-0.108487692240829,-0.0216792782242289,0.358909618794127,0.235743103118614,0.138338298989696,-0.143785464021644
"assertive",0.0281071567840623,-0.157613438671846,-0.100880868862333,-0.438005476864505,0.133638187518904,-0.0106704538797976
"bashful",-0.0868890541947022,0.377385686526373,0.0758889983199412,0.226125988248771,-0.199814450378086,-0.0590755017771977
"bold",0.0193618155730686,-0.0923762485423455,0.138634486393729,-0.465549691572353,0.0157843752533068,-0.0590269791980238
"bright",-0.00607849692082921,0.00774847268007856,0.0690991694419191,-0.0442249409625139,-0.0399869647359573,-0.169689054804386
"careful",0.00376861781478738,0.027145722437535,-0.38981607175868,0.118511033411674,-0.0384424117107403,-0.0281374356830512
"careless",-0.0530141140941787,0.039676136185958,0.435113150484887,0.0433138180767248,0.00522569823048701,0.0516707268720734
"cold",0.112441156882371,0.508210688690814,-0.0583608668843867,-0.0359913692939805,0.163429507801582,-0.128571060940241
"complex",0.0769122949423251,0.125471944522133,0.0667007837734555,0.0180321656582055,0.0395551323646697,-0.274401773501456
"conscientious",-0.16935298199435,-0.0298043107389993,-0.41329891586348,0.0206847473159609,-0.0337103347211231,-0.00251890279315448
"considerate",-0.139162624377386,-0.197827043210183,-0.00432582836816211,0.124018101459801,-0.248261780747315,0.0415440366240041
"cooperative",-0.0377473737339305,-0.233594366703808,-0.0173725769532692,0.0117240591859263,-0.284868275033705,-0.0150556772169274
"creative",-0.0499064469405457,0.0560237177031786,0.197122915337035,0.0616922077295436,0.0233134904081844,-0.119561064896967
"daring",0.00260275958652405,0.0570935476794199,0.366491709740045,-0.523685530112686,-0.0756801940683114,-0.0450003208773632
"deep",0.00735162157943657,0.095876246032392,0.0265580730709973,0.0760707789562667,-0.0143197054325867,-0.163822568352512
"demanding",-0.117192169117792,-0.00746246988390201,-0.241338405567636,-0.409671314255705,0.277867140055293,-0.190785373429647
"disorganized",-0.120744367335283,0.0452451300056448,0.406553569843532,0.0710214173127399,-0.00615806800625459,-0.0242824417356307
"distrustful",0.563195706378193,0.195898125505015,-0.035975488208447,0.111361046126867,0.102689171918283,0.0866120948482465
"efficient",0.0803423906598689,0.0148420286884478,-0.277951967039463,-0.079027708316321,-0.0176732555750606,0.00815614554879221
"emotional",-0.108481577719884,-0.3700037613045,0.221262425100527,0.15713054977728,-0.0249522987230633,-0.0669541539558651
"energetic",-0.108558826066473,-0.223972711411125,0.0834912796142696,-0.299764207199033,-0.027762973088582,0.0391708103237949
"envious",0.164013090331676,-0.0712325925469754,0.0837956630938916,0.047759170687456,0.0105586761610044,-0.00183987303505763
"fearful",-0.0799980975063183,-0.0238836632808636,0.0456928194746505,0.117758690480034,-0.0308091820067957,-0.0172873846283092
"fretful",-0.330918053070629,-0.10899162930421,0.0287760367872239,0.194468911335916,0.312794057455775,-0.14144816122764
"generous",-0.182339147310911,-0.188869849701094,-0.00210744936058824,0.0142249047992634,-0.0729490221165033,0.0102691832877235
"haphazard",-0.0916929555895754,0.0630342211734958,0.409332616378123,0.034008618958327,0.00346303827040379,0.017627578161383
"harsh",-0.159311795043772,0.0275534780902934,-0.154287145633228,-0.255458030050215,0.556183496155323,-0.0238136381976993
"helpful",-0.0332518280252275,-0.176700485898962,-0.073976126414574,0.0293141006401952,-0.0933952366451477,0.034617135229404
"high-strung",-0.260846306616623,-0.104032208902329,-0.0040981458283647,-0.145095496041683,0.302831067501508,-0.180701269573439
"imaginative",-0.0199037973197515,0.0510925488358936,0.253521777864086,0.0691045973883061,0.0172713918900997,-0.210450458610725
"impractical",-0.11194690375114,-0.0190525893124018,0.246645465860578,0.141292120524903,0.0340506854518978,-0.00553883943115764
"inconsistent",0.0104940467176424,0.0164354172246495,0.431362799580894,0.099017251346811,0.0121205359887728,-0.021178272207715
"inefficient",-0.119794678764885,0.00806877463673612,0.304012476740699,0.0793610453898804,0.0271350116533007,0.000691649070237099
"inhibited",-0.0695593139541768,0.471888919593002,-0.0167642349597679,0.275472116923696,-0.139765764353225,-0.062798196797089
"innovative",-0.0775589335915065,0.181789159996899,0.209498775026929,-0.21901288991496,-0.0589047924994182,-0.375944966172718
"insecure",-0.0813882708025292,0.1144528943247,0.115658512119411,0.180326825673491,-0.0394489706904075,-0.0964140079727314
"intellectual",-0.00542076390767338,0.131092731317162,-0.0880752610895256,0.0314274762215863,-0.034200619639991,-0.28964798460454
"introspective",-0.00674191810438583,0.254306637219543,-0.00980699228832207,0.304033701735535,-0.0828027522116139,-0.320914306135829
"introverted",-0.0515337732970385,0.572595356175451,-0.0726571989235076,0.402016968487387,-0.083277574616749,-0.0682184705095824
